idCompra;idItemCompra;forma;modalidade;criterioJulgamento;numeroItemCompra;descricaoItem;codigoItemCatalogo;nomeUnidadeMedida;siglaUnidadeMedida;nomeUnidadeFornecimento;siglaUnidadeFornecimento;capacidadeUnidadeFornecimento;quantidade;precoUnitario;percentualMaiorDesconto;niFornecedor;nomeFornecedor;marca;codigoUasg;nomeUasg;codigoMunicipio;municipio;estado;codigoOrgao;nomeOrgao;poder;esfera;dataCompra;dataHoraAtualizacaoCompra;dataHoraAtualizacaoItem;dataResultado;dataHoraAtualizacaoUasg;codigoClasse;nomeClasse;;;
45016106007792026;10921822;SISPP;6;0;1;SERVIDOR, TIPO: RACK , PROCESSADORES FÍSICOS: 2 , NÚCLEOS POR PROCESSADOR: SUPERIOR A 20 , MEMÓRIA RAM: 512 GB, INTERFACE REDE LAN: 3 A 4 , INTERFACE REDE SAN: 2 , ARMAZENAMENTO SATA: SEM DISCOS SATA , ARMAZENAMENTO SAS: SEM DISCOS SAS , ARMAZENAMENTO SSD: COM DISCOS SSD , FONTE ALIMENTAÇÃO: REDUNDANTE (SWAP/HOT PLUG) , SISTEMA OPERACIONAL: OPEN SOURCE , GARANTIA ON SITE: SUPERIOR 48 MESES;628826;null;;UNIDADE;UN;0;1;7.281,00;0;13394365000190,00;NET SERVER COMERCIAL DE INFORMATICA LTDA;-;450161;ESP-UNIVERSIDADE ESTADUAL DE CAMPINAS;3509502;CAMPINAS;SP;95554;ESP-UNIV ESTADUAL DE CAMPINAS - UNICAMP;E;E;12/02/2026;2026-02-14T02:17:58.180169;2026-02-14T03:23:37.515899;13/02/2026;2024-01-19T16:58;7010;COMPUTADORES;;;
92978905900022026;10920835;SISPP;5;V;5;SERVIDOR, TIPO: RACK , PROCESSADORES FÍSICOS: 2 , NÚCLEOS POR PROCESSADOR: SUPERIOR A 20 , MEMÓRIA RAM: 512 GB, INTERFACE REDE LAN: 3 A 4 , INTERFACE REDE SAN: 2 , ARMAZENAMENTO SATA: SEM DISCOS SATA , ARMAZENAMENTO SAS: SEM DISCOS SAS , ARMAZENAMENTO SSD: COM DISCOS SSD , FONTE ALIMENTAÇÃO: REDUNDANTE (SWAP/HOT PLUG) , SISTEMA OPERACIONAL: OPEN SOURCE , GARANTIA ON SITE: SUPERIOR 48 MESES;628826;null;;UNIDADE;UN;0;1;3.908.000,00;0;03607073000134;SUPRISERVICE INFORMATICA LTDA;Lenovo;929789;EES-SECRETARIA EST.C.T.I.E.P.DESENV.ECONOMICO;3205309;VITÓRIA;ES;99476;EES-SECRETARIA EST.C.T.I.E.P.DESENV.ECONOMICO;E;E;13/02/2026;2026-02-14T01:10:08.229421;2026-02-14T03:02:41.774714;13/02/2026;2024-10-05T11:09;7010;COMPUTADORES;;;
92978905900022026;10920841;SISPP;5;V;11;SERVIDOR, TIPO: RACK , PROCESSADORES FÍSICOS: 2 , NÚCLEOS POR PROCESSADOR: SUPERIOR A 20 , MEMÓRIA RAM: 512 GB, INTERFACE REDE LAN: 3 A 4 , INTERFACE REDE SAN: 2 , ARMAZENAMENTO SATA: SEM DISCOS SATA , ARMAZENAMENTO SAS: SEM DISCOS SAS , ARMAZENAMENTO SSD: COM DISCOS SSD , FONTE ALIMENTAÇÃO: REDUNDANTE (SWAP/HOT PLUG) , SISTEMA OPERACIONAL: OPEN SOURCE , GARANTIA ON SITE: SUPERIOR 48 MESES;628826;null;;UNIDADE;UN;0;1;211.573,00;0;03607073000134;SUPRISERVICE INFORMATICA LTDA;Lenovo;929789;EES-SECRETARIA EST.C.T.I.E.P.DESENV.ECONOMICO;3205309;VITÓRIA;ES;99476;EES-SECRETARIA EST.C.T.I.E.P.DESENV.ECONOMICO;E;E;13/02/2026;2026-02-14T01:10:08.229421;2026-02-14T03:02:41.905403;13/02/2026;2024-10-05T11:09;7010;COMPUTADORES;;;
16008605900142025;10775349;SISRP;5;V;24;SERVIDOR, TIPO: RACK , PROCESSADORES FÍSICOS: 2 , NÚCLEOS POR PROCESSADOR: SUPERIOR A 20 , MEMÓRIA RAM: 512 GB, INTERFACE REDE LAN: 3 A 4 , INTERFACE REDE SAN: 2 , ARMAZENAMENTO SATA: SEM DISCOS SATA , ARMAZENAMENTO SAS: SEM DISCOS SAS , ARMAZENAMENTO SSD: COM DISCOS SSD , FONTE ALIMENTAÇÃO: REDUNDANTE (SWAP/HOT PLUG) , SISTEMA OPERACIONAL: OPEN SOURCE , GARANTIA ON SITE: SUPERIOR 48 MESES;628826;null;;UNIDADE;UN;0;3;70.000,00;0;00006879000260;COMPACTA COMERCIO E SERVICOS LTDA;Thinksystem SR650 V3;160086;GABINETE DO MINISTRO DO EXERCITO;5300108;BRASÍLIA;DF;52121;COMANDO DO EXERCITO;E;F;26/01/2026;2026-01-27T01:10:07.822631;2026-01-27T03:02:46.698722;26/01/2026;2026-02-02T10:36;7010;COMPUTADORES;;;
92627405917752025;10480459;SISRP;5;V;32;SERVIDOR, TIPO: RACK , PROCESSADORES FÍSICOS: 2 , NÚCLEOS POR PROCESSADOR: SUPERIOR A 20 , MEMÓRIA RAM: 512 GB, INTERFACE REDE LAN: 3 A 4 , INTERFACE REDE SAN: 2 , ARMAZENAMENTO SATA: SEM DISCOS SATA , ARMAZENAMENTO SAS: SEM DISCOS SAS , ARMAZENAMENTO SSD: COM DISCOS SSD , FONTE ALIMENTAÇÃO: REDUNDANTE (SWAP/HOT PLUG) , SISTEMA OPERACIONAL: OPEN SOURCE , GARANTIA ON SITE: SUPERIOR 48 MESES;628826;null;;UNIDADE;UN;0;4;272.000,00;0;01425676000351;ATHENAS AUTOMACAO LTDA;ThinkSystem SR665 V3;926274;UNIVERSIDADE ESTADUAL DO OESTE DO PARANA-FOZ;4108304;FOZ DO IGUAÇU;PR;96175;UNIVERSIDADE ESTADUAL DO OESTE DO PARANA -FOZ;E;E;23/01/2026;2026-01-24T01:10:09.025703;2026-01-24T03:01:44.846188;23/01/2026;2024-04-06T15:14;7010;COMPUTADORES;;;
92627405917752025;10480458;SISRP;5;V;31;SERVIDOR, TIPO: RACK , PROCESSADORES FÍSICOS: 2 , NÚCLEOS POR PROCESSADOR: SUPERIOR A 20 , MEMÓRIA RAM: 512 GB, INTERFACE REDE LAN: 3 A 4 , INTERFACE REDE SAN: 2 , ARMAZENAMENTO SATA: SEM DISCOS SATA , ARMAZENAMENTO SAS: SEM DISCOS SAS , ARMAZENAMENTO SSD: COM DISCOS SSD , FONTE ALIMENTAÇÃO: REDUNDANTE (SWAP/HOT PLUG) , SISTEMA OPERACIONAL: OPEN SOURCE , GARANTIA ON SITE: SUPERIOR 48 MESES;628826;null;;UNIDADE;UN;0;4;286.000,00;0;01425676000351;ATHENAS AUTOMACAO LTDA;ThinkSystem SR665 V3;926274;UNIVERSIDADE ESTADUAL DO OESTE DO PARANA-FOZ;4108304;FOZ DO IGUAÇU;PR;96175;UNIVERSIDADE ESTADUAL DO OESTE DO PARANA -FOZ;E;E;23/01/2026;2026-01-24T01:10:09.025703;2026-01-24T03:01:44.823571;23/01/2026;2024-04-06T15:14;7010;COMPUTADORES;;;
92627405917752025;10480460;SISRP;5;V;33;SERVIDOR, TIPO: RACK , PROCESSADORES FÍSICOS: 2 , NÚCLEOS POR PROCESSADOR: SUPERIOR A 20 , MEMÓRIA RAM: 512 GB, INTERFACE REDE LAN: 3 A 4 , INTERFACE REDE SAN: 2 , ARMAZENAMENTO SATA: SEM DISCOS SATA , ARMAZENAMENTO SAS: SEM DISCOS SAS , ARMAZENAMENTO SSD: COM DISCOS SSD , FONTE ALIMENTAÇÃO: REDUNDANTE (SWAP/HOT PLUG) , SISTEMA OPERACIONAL: OPEN SOURCE , GARANTIA ON SITE: SUPERIOR 48 MESES;628826;null;;UNIDADE;UN;0;3;226.000,00;0;01425676000351;ATHENAS AUTOMACAO LTDA;ThinkSystem SR665 V3;926274;UNIVERSIDADE ESTADUAL DO OESTE DO PARANA-FOZ;4108304;FOZ DO IGUAÇU;PR;96175;UNIVERSIDADE ESTADUAL DO OESTE DO PARANA -FOZ;E;E;23/01/2026;2026-01-24T01:10:09.025703;2026-01-24T03:01:44.868911;23/01/2026;2024-04-06T15:14;7010;COMPUTADORES;;;
92554406000142026;10756573;SISPP;6;1;5;SERVIDOR, TIPO: RACK , PROCESSADORES FÍSICOS: 2 , NÚCLEOS POR PROCESSADOR: SUPERIOR A 20 , MEMÓRIA RAM: 512 GB, INTERFACE REDE LAN: 3 A 4 , INTERFACE REDE SAN: 2 , ARMAZENAMENTO SATA: SEM DISCOS SATA , ARMAZENAMENTO SAS: SEM DISCOS SAS , ARMAZENAMENTO SSD: COM DISCOS SSD , FONTE ALIMENTAÇÃO: REDUNDANTE (SWAP/HOT PLUG) , SISTEMA OPERACIONAL: OPEN SOURCE , GARANTIA ON SITE: SUPERIOR 48 MESES;628826;null;;UNIDADE;UN;0;2;2.310,00;0;36539794000103,00;36.539.794 VICTOR HUGO RIBEIRO LIMA;NBL;925544;ERN - INSTITUTO TÉCNICO-CIENTÍFICO DE PERÍCIA;2408102;NATAL;RN;99782;ERN - INSTITUTO TÉCNICO-CIENTÍFICO DE PERÍCIA;E;E;17/12/2025;2026-01-23T02:27:44.031068;2026-01-23T03:19:09.742024;22/01/2026;2024-10-12T11:09;7010;COMPUTADORES;;;
16030305900122025;10699788;SISRP;5;V;10;SERVIDOR, TIPO: RACK , PROCESSADORES FÍSICOS: 2 , NÚCLEOS POR PROCESSADOR: SUPERIOR A 20 , MEMÓRIA RAM: 512 GB, INTERFACE REDE LAN: 3 A 4 , INTERFACE REDE SAN: 2 , ARMAZENAMENTO SATA: SEM DISCOS SATA , ARMAZENAMENTO SAS: SEM DISCOS SAS , ARMAZENAMENTO SSD: COM DISCOS SSD , FONTE ALIMENTAÇÃO: REDUNDANTE (SWAP/HOT PLUG) , SISTEMA OPERACIONAL: OPEN SOURCE , GARANTIA ON SITE: SUPERIOR 48 MESES;628826;null;;UNIDADE;UN;0;1;93.200,00;0;08619872000144;TECZAP COMERCIO E DISTRIBUICAO LTDA;TZ SUPER;160303;BASE DE ADMINIST. E APOIO DA 1ª REG. MILITAR;3304557;RIO DE JANEIRO;RJ;52121;COMANDO DO EXERCITO;E;F;15/01/2026;2026-01-16T01:10:06.841513;2026-01-16T03:01:34.299718;15/01/2026;2026-01-19T10:39;7010;COMPUTADORES;;;
20060006000602025;10614694;SISPP;6;1;1;SERVIDOR, TIPO: RACK , PROCESSADORES FÍSICOS: 2 , NÚCLEOS POR PROCESSADOR: SUPERIOR A 20 , MEMÓRIA RAM: 512 GB, INTERFACE REDE LAN: 3 A 4 , INTERFACE REDE SAN: 2 , ARMAZENAMENTO SATA: SEM DISCOS SATA , ARMAZENAMENTO SAS: SEM DISCOS SAS , ARMAZENAMENTO SSD: COM DISCOS SSD , FONTE ALIMENTAÇÃO: REDUNDANTE (SWAP/HOT PLUG) , SISTEMA OPERACIONAL: OPEN SOURCE , GARANTIA ON SITE: SUPERIOR 48 MESES;628826;null;;UNIDADE;UN;0;2;29.796,00;0;6,25671E+13;LIZARDOS VENDAS E SOLUCOES LTDA;DELL;200600;PENITENCIÁRIA FEDERAL EM CAMPO GRANDE - MS;5002704;CAMPO GRANDE;MS;30907;FUNDO PENITENCIARIO NACIONAL;E;F;21/12/2025;2025-12-31T02:18:23.240136;2025-12-31T03:19:22.179709;30/12/2025;2020-12-20T17:51;7010;COMPUTADORES;;;
